required_skills,candidate_skills,degree,years_experience,overlap,fit,probability,missing_skills
"flask, gcp, javascript, react, sql, tableau","graphql, java, kubernetes, numpy, rest, spark, tensorflow, typescript",1.0,0.4,0.0,0.0,0.162,"flask, gcp, javascript, react, sql, tableau"
"docker, excel, power bi, rest, react","azure, django, excel, kubernetes, numpy, pandas, pytorch, python",1.0,5.9,1.0,1.0,0.427,"docker, power bi, rest, react"
"aws, excel, flask, kubernetes, linux, pandas, pytorch, react","django, hadoop, node.js, sql, scikit-learn",2.0,2.1,0.0,0.0,0.273,"aws, excel, flask, kubernetes, linux, pandas, pytorch, react"
"git, numpy, r, spark, tableau, typescript","gcp, java, kubernetes, react, scikit-learn",1.0,0.8,0.0,0.0,0.174,"git, numpy, r, spark, tableau, typescript"
"docker, graphql, javascript, pandas, react, spark, tableau, tensorflow","ci/cd, excel, graphql, react, tableau, tensorflow",1.0,2.3,4.0,0.0,0.619,"docker, javascript, pandas, spark"
"javascript, pandas, pytorch, sql, tableau, tensorflow","airflow, ci/cd, django, gcp, kubernetes, numpy, pandas, python",1.0,2.4,1.0,0.0,0.322,"javascript, pytorch, sql, tableau, tensorflow"
"docker, flask, pytorch, python, r","graphql, power bi, rest, sql",1.0,4.3,0.0,1.0,0.279,"docker, flask, pytorch, python, r"
"aws, ci/cd, java, python, spark","azure, django, flask, hadoop, kubernetes, node.js, numpy, r, sql, typescript",0.0,4.8,0.0,0.0,0.294,"aws, ci/cd, java, python, spark"
"aws, java, kubernetes, node.js, scikit-learn, tensorflow","flask, linux, numpy, r, spark",2.0,4.8,0.0,0.0,0.354,"aws, java, kubernetes, node.js, scikit-learn, tensorflow"
"aws, gcp, kubernetes, node.js, r","kubernetes, linux, python, tensorflow, typescript",1.0,3.3,1.0,0.0,0.349,"aws, gcp, node.js, r"
"azure, docker, flask, graphql, node.js, power bi","airflow, django, docker, graphql, java, pandas, pytorch, python, r, spark",2.0,3.6,2.0,0.0,0.518,"azure, flask, node.js, power bi"
"aws, django, docker, etl, java, javascript","hadoop, node.js, pandas, python, rest, sql, typescript",1.0,3.9,0.0,0.0,0.267,"aws, django, docker, etl, java, javascript"
"ci/cd, git, kubernetes, python, react","aws, django, etl, power bi, pytorch, typescript",2.0,7.5,0.0,0.0,0.435,"ci/cd, git, kubernetes, python, react"
"etl, pytorch, react, tableau, tensorflow","airflow, django, flask, javascript, kubernetes, rest, scikit-learn, tensorflow",2.0,5.8,1.0,1.0,0.484,"etl, pytorch, react, tableau"
"etl, flask, power bi, pytorch, python","aws, azure, excel, flask, graphql, hadoop, pytorch, r, spark, typescript",1.0,4.3,2.0,1.0,0.479,"etl, power bi, python"
"gcp, git, hadoop, node.js, numpy, pandas, sql","azure, kubernetes, pandas, python, scikit-learn, spark, typescript",1.0,4.8,1.0,1.0,0.394,"gcp, git, hadoop, node.js, numpy, sql"
"ci/cd, django, etl, excel, gcp, graphql, java, rest","ci/cd, graphql, hadoop, kubernetes, pandas, power bi, r, rest, react, sql",1.0,2.2,3.0,1.0,0.516,"django, etl, excel, gcp, java"
"aws, django, graphql, hadoop, linux","aws, airflow, graphql, hadoop, kubernetes, python, typescript",2.0,1.9,3.0,1.0,0.567,"django, linux"
"azure, etl, kubernetes, linux, power bi, scikit-learn, tensorflow","azure, ci/cd, django, docker, excel, git, python, r, rest",1.0,6.1,1.0,0.0,0.433,"etl, kubernetes, linux, power bi, scikit-learn, tensorflow"
"docker, graphql, kubernetes, pandas, r, scikit-learn, tableau","git, hadoop, react, scikit-learn",3.0,0.8,1.0,0.0,0.334,"docker, graphql, kubernetes, pandas, r, tableau"
"django, hadoop, pytorch, spark, tableau","ci/cd, django, etl, sql",1.0,1.9,1.0,1.0,0.307,"hadoop, pytorch, spark, tableau"
"django, docker, git, hadoop, power bi, r, rest","ci/cd, graphql, hadoop, typescript",1.0,5.3,1.0,1.0,0.409,"django, docker, git, power bi, r, rest"
"flask, java, javascript, numpy, pandas, sql","ci/cd, django, etl, flask, r",2.0,4.8,1.0,0.0,0.454,"java, javascript, numpy, pandas, sql"
"etl, node.js, power bi, r, rest, sql, tableau","excel, gcp, numpy, pytorch, sql, scikit-learn, tableau, typescript",1.0,0.0,2.0,1.0,0.35,"etl, node.js, power bi, r, rest"
"airflow, etl, numpy, power bi, pytorch, r, react","excel, javascript, kubernetes, numpy, r, rest, sql, tableau",1.0,3.3,2.0,0.0,0.449,"airflow, etl, power bi, pytorch, react"
"aws, azure, django, excel, git, java, sql, spark","ci/cd, excel, gcp, pandas, rest, spark",1.0,5.3,2.0,0.0,0.509,"aws, azure, django, git, java, sql"
"airflow, azure, django, docker, etl","etl, excel, graphql, javascript, node.js, pandas, sql, tableau",1.0,0.7,1.0,0.0,0.271,"airflow, azure, django, docker"
"aws, airflow, azure, numpy, pandas, spark","aws, airflow, django, flask, graphql, hadoop, java, kubernetes, linux, pytorch",1.0,7.1,2.0,0.0,0.563,"azure, numpy, pandas, spark"
"aws, django, graphql, node.js, r, tensorflow","airflow, graphql, hadoop, linux, node.js, numpy, power bi, python, rest, react",2.0,2.6,2.0,1.0,0.488,"aws, django, r, tensorflow"
"ci/cd, git, node.js, python, sql, tensorflow","azure, django, gcp, javascript, pytorch",1.0,5.8,0.0,0.0,0.324,"ci/cd, git, node.js, python, sql, tensorflow"
"aws, azure, django, etl, git, rest","aws, ci/cd, docker, python",3.0,3.2,1.0,1.0,0.406,"azure, django, etl, git, rest"
"airflow, ci/cd, django, pandas, power bi, rest, tensorflow","aws, ci/cd, docker, rest, sql",1.0,6.2,2.0,0.0,0.536,"airflow, django, pandas, power bi, tensorflow"
"etl, flask, javascript, linux, node.js, pandas","etl, flask, kubernetes, spark",1.0,3.2,2.0,1.0,0.446,"javascript, linux, node.js, pandas"
"gcp, git, javascript, pandas, pytorch, python, r, spark","django, excel, node.js, pytorch, r",2.0,3.4,2.0,1.0,0.512,"gcp, git, javascript, pandas, python, spark"
"azure, docker, etl, git, graphql, numpy, rest, tensorflow","git, pandas, scikit-learn, spark",2.0,1.6,1.0,1.0,0.358,"azure, docker, etl, graphql, numpy, rest, tensorflow"
"azure, graphql, numpy, power bi, pytorch, typescript","azure, flask, pandas, pytorch, rest",2.0,2.5,2.0,0.0,0.485,"graphql, numpy, power bi, typescript"
"etl, excel, flask, java, javascript, pandas","linux, pandas, power bi, tensorflow",1.0,7.3,1.0,0.0,0.469,"etl, excel, flask, java, javascript"
"azure, django, docker, hadoop, kubernetes, scikit-learn, spark, typescript","aws, airflow, gcp, linux, python, scikit-learn",2.0,4.7,1.0,0.0,0.451,"azure, django, docker, hadoop, kubernetes, spark, typescript"
"airflow, azure, etl, javascript, power bi, sql, scikit-learn, spark","gcp, git, pandas, python, sql, tableau",1.0,3.9,1.0,0.0,0.367,"airflow, azure, etl, javascript, power bi, scikit-learn, spark"
"aws, airflow, graphql, kubernetes, numpy, r","docker, etl, excel, r, sql, tableau",2.0,0.9,1.0,1.0,0.337,"aws, airflow, graphql, kubernetes, numpy"
"aws, docker, gcp, java, node.js, pytorch, scikit-learn, typescript","django, etl, graphql, kubernetes, linux, pytorch",1.0,2.6,1.0,0.0,0.328,"aws, docker, gcp, java, node.js, scikit-learn, typescript"
"gcp, node.js, power bi, tableau, tensorflow","django, docker, git, numpy, pytorch, react, spark, typescript",1.0,2.8,0.0,1.0,0.234,"gcp, node.js, power bi, tableau, tensorflow"
"aws, ci/cd, kubernetes, power bi, r, sql, tensorflow","aws, etl, r, spark, tableau, tensorflow",1.0,3.8,3.0,1.0,0.564,"ci/cd, kubernetes, power bi, sql"
"aws, azure, docker, linux, power bi, pytorch, r","flask, java, kubernetes, r, rest, tableau",1.0,4.7,1.0,0.0,0.391,"aws, azure, docker, linux, power bi, pytorch"
"aws, docker, javascript, python, sql","ci/cd, django, git, java, kubernetes, node.js, numpy, power bi, tensorflow, typescript",1.0,3.8,0.0,0.0,0.264,"aws, docker, javascript, python, sql"
"azure, pytorch, rest, sql, tensorflow","airflow, django, kubernetes, numpy, pandas, power bi, pytorch, rest, tableau, typescript",2.0,3.4,2.0,1.0,0.512,"azure, sql, tensorflow"
"docker, hadoop, java, numpy, tensorflow","gcp, git, rest, tableau",1.0,4.0,0.0,0.0,0.27,"docker, hadoop, java, numpy, tensorflow"
"azure, etl, power bi, rest, sql","docker, graphql, java, numpy, power bi, pytorch, r, react, tableau",1.0,4.0,1.0,0.0,0.37,"azure, etl, rest, sql"
"airflow, ci/cd, flask, rest, scikit-learn, typescript","airflow, django, flask, git, hadoop, numpy, python, r, tensorflow",3.0,5.3,2.0,1.0,0.569,"ci/cd, rest, scikit-learn, typescript"
"airflow, ci/cd, docker, hadoop, pandas, r, tensorflow","ci/cd, node.js, pytorch, typescript",0.0,4.6,1.0,0.0,0.388,"airflow, docker, hadoop, pandas, r, tensorflow"
"aws, airflow, gcp, javascript, sql, tableau, tensorflow","aws, ci/cd, excel, flask, graphql, javascript, kubernetes, linux, numpy, react",2.0,3.7,2.0,1.0,0.521,"airflow, gcp, sql, tableau, tensorflow"
"aws, javascript, power bi, python, rest, react, tableau","airflow, graphql, python, r, tableau",1.0,6.7,2.0,0.0,0.551,"aws, javascript, power bi, rest, react"
"aws, docker, gcp, git, kubernetes, numpy, sql","aws, azure, docker, etl, gcp, kubernetes, numpy, sql, typescript",1.0,4.6,6.0,1.0,0.888,git
"django, linux, node.js, numpy, scikit-learn, spark","excel, git, r, scikit-learn, tableau",1.0,2.0,1.0,0.0,0.31,"django, linux, node.js, numpy, spark"
"airflow, javascript, kubernetes, pandas, typescript","azure, django, excel, node.js, numpy, r",1.0,5.7,0.0,1.0,0.321,"airflow, javascript, kubernetes, pandas, typescript"
"ci/cd, django, excel, graphql, hadoop, rest, tensorflow","azure, graphql, hadoop, node.js, pandas, react, spark",1.0,0.8,2.0,0.0,0.374,"ci/cd, django, excel, rest, tensorflow"
"java, react, scikit-learn, tableau, tensorflow","azure, ci/cd, graphql, node.js, power bi",2.0,1.3,0.0,0.0,0.249,"java, react, scikit-learn, tableau, tensorflow"
"docker, flask, gcp, hadoop, sql","docker, linux, r, sql, tableau",1.0,1.5,2.0,1.0,0.395,"flask, gcp, hadoop"
"ci/cd, excel, kubernetes, linux, tensorflow","flask, gcp, javascript, sql, tableau",3.0,0.0,0.0,0.0,0.21,"ci/cd, excel, kubernetes, linux, tensorflow"
"azure, git, power bi, sql, scikit-learn, spark, tableau","aws, docker, flask, java, power bi, tableau",1.0,2.3,2.0,0.0,0.419,"azure, git, sql, scikit-learn, spark"
"airflow, django, excel, java, node.js, scikit-learn, tensorflow","azure, flask, r, scikit-learn, tableau",1.0,1.9,1.0,0.0,0.307,"airflow, django, excel, java, node.js, tensorflow"
"flask, git, graphql, linux, python, typescript","airflow, django, docker, graphql, javascript, kubernetes, r, sql, scikit-learn, tableau",0.0,0.0,1.0,0.0,0.25,"flask, git, linux, python, typescript"
"etl, git, graphql, linux, power bi, sql, scikit-learn","aws, airflow, django, flask, python, react, spark, tableau, typescript",1.0,1.8,0.0,0.0,0.204,"etl, git, graphql, linux, power bi, sql, scikit-learn"
"ci/cd, docker, gcp, linux, pandas, tableau","airflow, docker, flask, java, numpy, pandas, rest, tensorflow",1.0,4.4,2.0,1.0,0.482,"ci/cd, gcp, linux, tableau"
"django, docker, graphql, linux, react","django, graphql, linux, tensorflow",2.0,3.7,3.0,1.0,0.621,"docker, react"
"graphql, node.js, power bi, sql, spark, typescript","etl, pandas, r, rest, sql",2.0,3.2,1.0,0.0,0.406,"graphql, node.js, power bi, spark, typescript"
"aws, airflow, hadoop, kubernetes, rest","django, pandas, power bi, r, tensorflow",1.0,0.6,0.0,0.0,0.168,"aws, airflow, hadoop, kubernetes, rest"
"azure, django, docker, etl, graphql, pandas, tableau, tensorflow","azure, flask, graphql, node.js, sql",1.0,2.8,2.0,1.0,0.434,"django, docker, etl, pandas, tableau, tensorflow"
"airflow, azure, graphql, pandas, pytorch, python, react, spark","aws, azure, excel, flask, hadoop, linux, rest, scikit-learn, tableau",3.0,7.6,1.0,1.0,0.538,"airflow, graphql, pandas, pytorch, python, react, spark"
"ci/cd, flask, kubernetes, r, tableau, tensorflow","azure, etl, excel, gcp, power bi, scikit-learn, typescript",1.0,6.0,0.0,0.0,0.33,"ci/cd, flask, kubernetes, r, tableau, tensorflow"
"airflow, azure, django, excel, graphql, linux, pandas, spark","airflow, azure, ci/cd, excel, flask, kubernetes, scikit-learn, tableau",1.0,6.3,3.0,1.0,0.639,"django, graphql, linux, pandas, spark"
"azure, django, docker, node.js, python, scikit-learn, spark","java, pandas, power bi, typescript",2.0,1.8,0.0,0.0,0.264,"azure, django, docker, node.js, python, scikit-learn, spark"
"aws, git, power bi, react, sql","airflow, excel, linux, numpy, pandas, pytorch, r, rest, spark",1.0,1.4,0.0,0.0,0.192,"aws, git, power bi, react, sql"
"excel, kubernetes, linux, sql, tableau","airflow, ci/cd, django, docker, java, linux, node.js, r, rest, tensorflow",0.0,7.3,1.0,0.0,0.469,"excel, kubernetes, sql, tableau"
"gcp, javascript, kubernetes, power bi, pytorch, rest, react","aws, django, node.js, pandas, power bi, r, typescript",2.0,0.9,1.0,1.0,0.337,"gcp, javascript, kubernetes, pytorch, rest, react"
"aws, airflow, azure, python, typescript","django, linux, node.js, spark",1.0,8.7,0.0,1.0,0.411,"aws, airflow, azure, python, typescript"
"etl, gcp, kubernetes, numpy, sql","airflow, ci/cd, etl, excel, flask, gcp, hadoop, rest, sql, typescript",3.0,4.7,3.0,0.0,0.651,"kubernetes, numpy"
"azure, excel, hadoop, pandas, power bi, pytorch, python","flask, power bi, sql, scikit-learn",1.0,4.6,1.0,0.0,0.388,"azure, excel, hadoop, pandas, pytorch, python"
"django, excel, pandas, pytorch, spark, tensorflow","ci/cd, django, flask, hadoop, linux, power bi, react",3.0,5.8,1.0,1.0,0.484,"excel, pandas, pytorch, spark, tensorflow"
"etl, flask, graphql, linux, numpy, rest, scikit-learn, tableau","django, gcp, git, linux, pytorch, r, react, tableau",2.0,6.5,2.0,1.0,0.605,"etl, flask, graphql, numpy, rest, scikit-learn"
"aws, django, git, kubernetes, node.js, spark","azure, ci/cd, docker, flask, kubernetes, power bi, react",2.0,5.1,1.0,1.0,0.463,"aws, django, git, node.js, spark"
"aws, docker, hadoop, linux, tensorflow, typescript","aws, airflow, ci/cd, django, docker, git, linux, rest",2.0,4.1,3.0,0.0,0.633,"hadoop, tensorflow, typescript"
"aws, azure, docker, excel, power bi, react, tableau, tensorflow","airflow, numpy, react, scikit-learn, tableau, typescript",3.0,3.8,2.0,0.0,0.524,"aws, azure, docker, excel, power bi, tensorflow"
"airflow, ci/cd, django, pytorch, spark, tableau","graphql, java, numpy, pandas, pytorch, python, rest, sql, tensorflow, typescript",3.0,6.0,1.0,0.0,0.49,"airflow, ci/cd, django, spark, tableau"
"ci/cd, docker, etl, excel, gcp, node.js, pytorch, spark","aws, airflow, django, excel, flask, git, graphql, hadoop, linux, sql",2.0,0.6,1.0,1.0,0.328,"ci/cd, docker, etl, gcp, node.js, pytorch, spark"
"git, graphql, power bi, pytorch, tensorflow","airflow, gcp, graphql, hadoop, power bi, rest, react, sql",1.0,6.3,2.0,0.0,0.539,"git, pytorch, tensorflow"
"graphql, java, kubernetes, scikit-learn, spark","aws, airflow, django, graphql, r, react, scikit-learn",2.0,2.7,2.0,1.0,0.491,"java, kubernetes, spark"
"azure, ci/cd, django, etl, python, typescript","airflow, excel, java, node.js, numpy, pytorch, sql",2.0,2.8,0.0,0.0,0.294,"azure, ci/cd, django, etl, python, typescript"
"excel, flask, java, kubernetes, node.js, rest, sql, scikit-learn","excel, gcp, linux, numpy, spark",1.0,3.6,1.0,0.0,0.358,"flask, java, kubernetes, node.js, rest, sql, scikit-learn"
"airflow, etl, gcp, javascript, linux, tableau","gcp, power bi, pytorch, scikit-learn, spark",1.0,2.9,1.0,1.0,0.337,"airflow, etl, javascript, linux, tableau"
"docker, excel, graphql, pandas, spark","airflow, ci/cd, flask, linux, r, react, typescript",3.0,4.8,0.0,0.0,0.354,"docker, excel, graphql, pandas, spark"
"azure, etl, node.js, numpy, r","airflow, graphql, javascript, node.js, rest, tableau",1.0,4.0,1.0,1.0,0.37,"azure, etl, numpy, r"
"ci/cd, hadoop, node.js, power bi, tensorflow","aws, git, hadoop, pandas, r, typescript",1.0,5.1,1.0,1.0,0.403,"ci/cd, node.js, power bi, tensorflow"
"airflow, graphql, numpy, power bi, scikit-learn, spark, tensorflow","azure, etl, excel, gcp, javascript, numpy, pandas, power bi, r, react",2.0,3.8,2.0,1.0,0.524,"airflow, graphql, scikit-learn, spark, tensorflow"
"azure, docker, flask, gcp, node.js, python, scikit-learn","ci/cd, django, pytorch, r, react",1.0,4.1,0.0,1.0,0.273,"azure, docker, flask, gcp, node.js, python, scikit-learn"
"aws, excel, git, graphql, hadoop, node.js, tableau, tensorflow","excel, flask, git, graphql, javascript, linux, pandas, typescript",2.0,5.6,3.0,0.0,0.678,"aws, hadoop, node.js, tableau, tensorflow"
"azure, graphql, linux, pandas, pytorch, spark","azure, django, docker, excel, hadoop, linux, numpy, pytorch, tableau, typescript",1.0,3.5,3.0,0.0,0.555,"graphql, pandas, spark"
"aws, etl, flask, hadoop, rest, scikit-learn","azure, gcp, git, hadoop, numpy, pandas, power bi, scikit-learn",1.0,2.8,2.0,0.0,0.434,"aws, etl, flask, rest"
"git, pandas, react, sql, tableau, tensorflow","gcp, git, javascript, numpy, pandas",0.0,6.3,2.0,0.0,0.539,"react, sql, tableau, tensorflow"
"azure, gcp, javascript, pandas, power bi, tensorflow","airflow, gcp, graphql, hadoop, javascript, node.js, numpy, power bi, pytorch, tensorflow",1.0,1.5,4.0,1.0,0.595,"azure, pandas"
"airflow, django, docker, etl, hadoop, java, spark, typescript","gcp, git, graphql, sql",1.0,2.1,0.0,0.0,0.213,"airflow, django, docker, etl, hadoop, java, spark, typescript"
"aws, flask, gcp, hadoop, numpy, pandas, sql, tableau","django, java, numpy, power bi, sql, scikit-learn, tableau",1.0,2.3,3.0,1.0,0.519,"aws, flask, gcp, hadoop, pandas"
"azure, ci/cd, excel, git, javascript, rest, spark","aws, ci/cd, etl, gcp, hadoop, kubernetes, pytorch, rest",1.0,5.6,2.0,1.0,0.518,"azure, excel, git, javascript, spark"
"excel, gcp, git, javascript, linux","ci/cd, django, docker, etl, rest, spark, typescript",1.0,6.3,0.0,0.0,0.339,"excel, gcp, git, javascript, linux"
"airflow, django, javascript, react, spark","django, spark, tableau, tensorflow",1.0,4.9,2.0,1.0,0.497,"airflow, javascript, react"
"ci/cd, django, hadoop, kubernetes, react, sql","gcp, git, kubernetes, numpy, pandas, pytorch, r, rest",1.0,4.2,1.0,0.0,0.376,"ci/cd, django, hadoop, react, sql"
"ci/cd, flask, kubernetes, pytorch, react, sql, tableau","ci/cd, django, docker, etl, gcp, hadoop, kubernetes, pandas, power bi, react",1.0,0.7,3.0,0.0,0.471,"flask, pytorch, sql, tableau"
"django, etl, gcp, linux, pandas, typescript","ci/cd, hadoop, java, javascript, linux, pytorch, react",1.0,1.2,1.0,0.0,0.286,"django, etl, gcp, pandas, typescript"
"azure, ci/cd, etl, excel, java, pandas, r, react","git, python, r, spark, tensorflow, typescript",3.0,6.6,1.0,1.0,0.508,"azure, ci/cd, etl, excel, java, pandas, react"
"excel, flask, python, spark, tableau, typescript","aws, flask, gcp, git, hadoop, kubernetes, numpy, power bi, spark, tensorflow",2.0,1.2,2.0,0.0,0.446,"excel, python, tableau, typescript"
"azure, flask, hadoop, java, rest, react, spark, tableau","airflow, azure, ci/cd, django, hadoop, kubernetes, r, rest, scikit-learn",2.0,4.1,3.0,1.0,0.633,"flask, java, react, spark, tableau"
"airflow, etl, pandas, r, sql, tensorflow","django, docker, etl, gcp, graphql, node.js, pandas, power bi, r, typescript",1.0,5.0,3.0,1.0,0.6,"airflow, sql, tensorflow"
"airflow, ci/cd, docker, etl, excel, git, java, tableau","aws, gcp, javascript, node.js, power bi, pytorch",3.0,3.3,0.0,0.0,0.309,"airflow, ci/cd, docker, etl, excel, git, java, tableau"
"java, linux, rest, spark, typescript","flask, scikit-learn, tensorflow, typescript",1.0,4.6,1.0,1.0,0.388,"java, linux, rest, spark"
"aws, ci/cd, django, hadoop, power bi, react, tensorflow","azure, ci/cd, etl, excel, node.js, pandas",1.0,2.7,1.0,0.0,0.331,"aws, django, hadoop, power bi, react, tensorflow"
"aws, docker, flask, gcp, pytorch, react, scikit-learn, typescript","numpy, power bi, pytorch, react, tableau, typescript",0.0,1.2,3.0,1.0,0.486,"aws, docker, flask, gcp, scikit-learn"
"aws, ci/cd, excel, javascript, linux, pytorch, rest, spark","docker, excel, tensorflow, typescript",2.0,3.0,1.0,0.0,0.4,"aws, ci/cd, javascript, linux, pytorch, rest, spark"
"aws, etl, flask, javascript, power bi, tableau","aws, django, etl, rest",1.0,3.5,2.0,1.0,0.455,"flask, javascript, power bi, tableau"
"aws, ci/cd, docker, gcp, git, linux, tableau","aws, airflow, ci/cd, docker, etl, flask, numpy",1.0,5.7,3.0,0.0,0.621,"gcp, git, linux, tableau"
"ci/cd, flask, java, linux, node.js, pytorch, r, react","aws, django, gcp, hadoop, pandas",1.0,2.6,0.0,0.0,0.228,"ci/cd, flask, java, linux, node.js, pytorch, r, react"
"pandas, r, react, sql, scikit-learn, spark, tableau, typescript","airflow, azure, kubernetes, power bi, r, react",1.0,2.8,2.0,0.0,0.434,"pandas, sql, scikit-learn, spark, tableau, typescript"
"azure, git, java, linux, r, rest","ci/cd, hadoop, javascript, pandas, sql, tableau, typescript",2.0,0.9,0.0,0.0,0.237,"azure, git, java, linux, r, rest"
"etl, graphql, hadoop, power bi, pytorch, spark, typescript","etl, git, hadoop, numpy, pandas, power bi, r, react",1.0,5.2,3.0,0.0,0.606,"graphql, pytorch, spark, typescript"
"azure, django, docker, excel, power bi","aws, azure, flask, git, graphql, java, kubernetes, numpy, sql, typescript",1.0,8.4,1.0,1.0,0.502,"django, docker, excel, power bi"
"docker, r, rest, sql, tableau, tensorflow","airflow, excel, java, power bi, tensorflow, typescript",2.0,7.7,1.0,0.0,0.541,"docker, r, rest, sql, tableau"
"graphql, java, javascript, kubernetes, r, rest","kubernetes, numpy, pytorch, python, react, sql",2.0,6.1,1.0,1.0,0.493,"graphql, java, javascript, r, rest"
"azure, django, git, sql, tensorflow, typescript","azure, django, docker, etl, rest, sql, tensorflow, typescript",2.0,3.4,5.0,1.0,0.812,git
"django, docker, gcp, power bi, python, tableau","azure, linux, power bi, tableau, tensorflow",1.0,4.1,2.0,1.0,0.473,"django, docker, gcp, python"
"django, hadoop, java, javascript, linux, numpy, react, scikit-learn","ci/cd, etl, git, graphql, javascript, node.js, power bi, typescript",1.0,3.5,1.0,1.0,0.355,"django, hadoop, java, linux, numpy, react, scikit-learn"
"airflow, docker, hadoop, power bi, python, tableau","docker, gcp, graphql, javascript, sql, spark",1.0,3.4,1.0,0.0,0.352,"airflow, hadoop, power bi, python, tableau"
"ci/cd, docker, gcp, pandas, python, typescript","gcp, java, linux, node.js, pandas, tableau",3.0,8.2,2.0,0.0,0.656,"ci/cd, docker, python, typescript"
"aws, azure, excel, python, scikit-learn, tensorflow","aws, azure, django, etl, flask, java, power bi, python, spark",1.0,3.2,3.0,0.0,0.546,"excel, scikit-learn, tensorflow"
"aws, airflow, azure, django, java, javascript, numpy, react","django, git, numpy, pandas",0.0,3.4,2.0,0.0,0.452,"aws, airflow, azure, java, javascript, react"
"ci/cd, docker, excel, graphql, node.js, pytorch, tableau, typescript","aws, etl, flask, gcp, sql, tableau, tensorflow",2.0,4.1,1.0,1.0,0.433,"ci/cd, docker, excel, graphql, node.js, pytorch, typescript"
"excel, flask, node.js, pandas, power bi, python, r, tensorflow","docker, gcp, git, graphql, linux, node.js, pandas, python, sql, scikit-learn",1.0,2.0,3.0,0.0,0.51,"excel, flask, power bi, r, tensorflow"
"airflow, gcp, java, kubernetes, node.js","etl, flask, graphql, numpy, r, react, scikit-learn, spark, tensorflow, typescript",3.0,4.0,0.0,0.0,0.33,"airflow, gcp, java, kubernetes, node.js"
"django, excel, java, node.js, numpy, pytorch, scikit-learn","django, hadoop, java, javascript, rest, react, spark",1.0,2.8,2.0,1.0,0.434,"excel, node.js, numpy, pytorch, scikit-learn"
"etl, gcp, hadoop, kubernetes, rest, spark, typescript","django, gcp, hadoop, javascript, kubernetes, node.js, rest",1.0,3.3,4.0,0.0,0.649,"etl, spark, typescript"
"docker, gcp, graphql, linux, node.js, python, spark","docker, gcp, hadoop, kubernetes, pytorch, tensorflow",1.0,2.1,2.0,0.0,0.413,"graphql, linux, node.js, python, spark"
"airflow, gcp, hadoop, sql, spark","airflow, azure, docker, graphql, hadoop, java, pandas, rest, scikit-learn",1.0,0.7,2.0,0.0,0.371,"gcp, sql, spark"
"airflow, ci/cd, flask, git, java, linux","aws, ci/cd, flask, kubernetes, pytorch",1.0,4.3,2.0,0.0,0.479,"airflow, git, java, linux"
"airflow, git, hadoop, kubernetes, pytorch, tableau","django, etl, flask, git, graphql, spark",3.0,2.8,1.0,0.0,0.394,"airflow, hadoop, kubernetes, pytorch, tableau"
"azure, excel, hadoop, spark, tableau, tensorflow","aws, java, javascript, pytorch, python, r, scikit-learn, tensorflow, typescript",1.0,4.9,1.0,1.0,0.397,"azure, excel, hadoop, spark, tableau"
"ci/cd, docker, etl, gcp, hadoop, pandas, power bi, spark","airflow, etl, gcp, git, numpy, pandas, sql, spark, tensorflow",1.0,3.8,4.0,0.0,0.664,"ci/cd, docker, hadoop, power bi"
"airflow, azure, docker, etl, java, linux, python","django, gcp, javascript, r, tableau, tensorflow",1.0,4.7,0.0,0.0,0.291,"airflow, azure, docker, etl, java, linux, python"
"aws, azure, excel, graphql, tableau, tensorflow","airflow, django, etl, gcp, rest, scikit-learn, typescript",1.0,5.4,0.0,1.0,0.312,"aws, azure, excel, graphql, tableau, tensorflow"
"excel, gcp, graphql, hadoop, java, numpy, pandas, r","django, docker, excel, git, hadoop",2.0,2.8,2.0,1.0,0.494,"gcp, graphql, java, numpy, pandas, r"
"aws, airflow, azure, git, java, spark","airflow, hadoop, pandas, tableau",1.0,2.8,1.0,0.0,0.334,"aws, azure, git, java, spark"
"aws, azure, ci/cd, pytorch, python","azure, gcp, linux, power bi, tableau, typescript",1.0,5.5,1.0,1.0,0.415,"aws, ci/cd, pytorch, python"
"azure, docker, etl, excel, flask, power bi, rest, sql","excel, java, power bi, rest",1.0,3.7,3.0,1.0,0.561,"azure, docker, etl, flask, sql"
"azure, etl, hadoop, kubernetes, pandas, scikit-learn, spark","aws, azure, javascript, power bi, python, r, react, tableau",1.0,6.9,1.0,1.0,0.457,"etl, hadoop, kubernetes, pandas, scikit-learn, spark"
"excel, graphql, node.js, numpy, tensorflow","aws, ci/cd, django, flask, gcp, git, java, node.js, pandas, react",1.0,4.5,1.0,1.0,0.385,"excel, graphql, numpy, tensorflow"
"airflow, git, java, node.js, python, tensorflow","etl, numpy, python, react, tableau",2.0,4.3,1.0,1.0,0.439,"airflow, git, java, node.js, tensorflow"
"airflow, ci/cd, django, javascript, pandas, react","aws, ci/cd, excel, gcp, graphql, python, react, typescript",1.0,0.0,2.0,0.0,0.35,"airflow, django, javascript, pandas"
"django, graphql, react, scikit-learn, tableau, typescript","docker, gcp, java, node.js, tensorflow",1.0,4.9,0.0,0.0,0.297,"django, graphql, react, scikit-learn, tableau, typescript"
"flask, gcp, git, linux, rest, sql, spark","aws, javascript, power bi, pytorch, react, scikit-learn, spark, tableau",2.0,4.6,1.0,0.0,0.448,"flask, gcp, git, linux, rest, sql"
